lowercase_basename,count,disk_relative_path,disk_basename,disk_source_folder,disk_batch_folder
frame_000430s.jpg,2,diyas/batch_001/frame_000430s.jpg,frame_000430s.jpg,diyas,batch_001
frame_000430s.jpg,2,obama/batch_001/frame_000430s.jpg,frame_000430s.jpg,obama,batch_001
frame_000431s.jpg,2,diyas/batch_001/frame_000431s.jpg,frame_000431s.jpg,diyas,batch_001
frame_000431s.jpg,2,obama/batch_001/frame_000431s.jpg,frame_000431s.jpg,obama,batch_001
frame_000432s.jpg,2,diyas/batch_001/frame_000432s.jpg,frame_000432s.jpg,diyas,batch_001
frame_000432s.jpg,2,obama/batch_001/frame_000432s.jpg,frame_000432s.jpg,obama,batch_001
frame_000433s.jpg,2,diyas/batch_001/frame_000433s.jpg,frame_000433s.jpg,diyas,batch_001
frame_000433s.jpg,2,obama/batch_001/frame_000433s.jpg,frame_000433s.jpg,obama,batch_001
frame_000434s.jpg,2,diyas/batch_001/frame_000434s.jpg,frame_000434s.jpg,diyas,batch_001
frame_000434s.jpg,2,obama/batch_001/frame_000434s.jpg,frame_000434s.jpg,obama,batch_001
frame_000435s.jpg,2,diyas/batch_001/frame_000435s.jpg,frame_000435s.jpg,diyas,batch_001
frame_000435s.jpg,2,obama/batch_001/frame_000435s.jpg,frame_000435s.jpg,obama,batch_001
frame_000436s.jpg,2,diyas/batch_001/frame_000436s.jpg,frame_000436s.jpg,diyas,batch_001
frame_000436s.jpg,2,obama/batch_001/frame_000436s.jpg,frame_000436s.jpg,obama,batch_001
frame_000437s.jpg,2,diyas/batch_001/frame_000437s.jpg,frame_000437s.jpg,diyas,batch_001
frame_000437s.jpg,2,obama/batch_001/frame_000437s.jpg,frame_000437s.jpg,obama,batch_001
frame_000438s.jpg,2,diyas/batch_001/frame_000438s.jpg,frame_000438s.jpg,diyas,batch_001
frame_000438s.jpg,2,obama/batch_001/frame_000438s.jpg,frame_000438s.jpg,obama,batch_001
frame_000439s.jpg,2,diyas/batch_001/frame_000439s.jpg,frame_000439s.jpg,diyas,batch_001
frame_000439s.jpg,2,obama/batch_001/frame_000439s.jpg,frame_000439s.jpg,obama,batch_001
frame_000441s.jpg,2,diyas/batch_001/frame_000441s.jpg,frame_000441s.jpg,diyas,batch_001
frame_000441s.jpg,2,obama/batch_001/frame_000441s.jpg,frame_000441s.jpg,obama,batch_001
frame_000442s.jpg,2,diyas/batch_001/frame_000442s.jpg,frame_000442s.jpg,diyas,batch_001
frame_000442s.jpg,2,obama/batch_001/frame_000442s.jpg,frame_000442s.jpg,obama,batch_001
frame_000443s.jpg,2,diyas/batch_001/frame_000443s.jpg,frame_000443s.jpg,diyas,batch_001
