normalized_numeric_suffix,count,disk_relative_path,disk_basename,disk_source_folder,disk_batch_folder
1113,2,obama/batch_001/frame_001113s.jpg,frame_001113s.jpg,obama,batch_001
1114,2,diyas/batch_002/frame_001114s.jpg,frame_001114s.jpg,diyas,batch_002
1114,2,obama/batch_001/frame_001114s.jpg,frame_001114s.jpg,obama,batch_001
1115,2,diyas/batch_002/frame_001115s.jpg,frame_001115s.jpg,diyas,batch_002
1115,2,obama/batch_001/frame_001115s.jpg,frame_001115s.jpg,obama,batch_001
1116,2,diyas/batch_002/frame_001116s.jpg,frame_001116s.jpg,diyas,batch_002
1116,2,obama/batch_001/frame_001116s.jpg,frame_001116s.jpg,obama,batch_001
1117,2,diyas/batch_002/frame_001117s.jpg,frame_001117s.jpg,diyas,batch_002
1117,2,obama/batch_001/frame_001117s.jpg,frame_001117s.jpg,obama,batch_001
1118,2,diyas/batch_002/frame_001118s.jpg,frame_001118s.jpg,diyas,batch_002
1118,2,obama/batch_001/frame_001118s.jpg,frame_001118s.jpg,obama,batch_001
1119,2,diyas/batch_002/frame_001119s.jpg,frame_001119s.jpg,diyas,batch_002
1119,2,obama/batch_001/frame_001119s.jpg,frame_001119s.jpg,obama,batch_001
1120,2,diyas/batch_002/frame_001120s.jpg,frame_001120s.jpg,diyas,batch_002
1120,2,obama/batch_001/frame_001120s.jpg,frame_001120s.jpg,obama,batch_001
1121,2,diyas/batch_002/frame_001121s.jpg,frame_001121s.jpg,diyas,batch_002
1121,2,obama/batch_001/frame_001121s.jpg,frame_001121s.jpg,obama,batch_001
1122,2,diyas/batch_002/frame_001122s.jpg,frame_001122s.jpg,diyas,batch_002
1122,2,obama/batch_001/frame_001122s.jpg,frame_001122s.jpg,obama,batch_001
1123,2,diyas/batch_002/frame_001123s.jpg,frame_001123s.jpg,diyas,batch_002
1123,2,obama/batch_001/frame_001123s.jpg,frame_001123s.jpg,obama,batch_001
1124,2,diyas/batch_002/frame_001124s.jpg,frame_001124s.jpg,diyas,batch_002
1124,2,obama/batch_001/frame_001124s.jpg,frame_001124s.jpg,obama,batch_001
1125,2,diyas/batch_002/frame_001125s.jpg,frame_001125s.jpg,diyas,batch_002
1125,2,obama/batch_001/frame_001125s.jpg,frame_001125s.jpg,obama,batch_001
1126,2,diyas/batch_002/frame_001126s.jpg,frame_001126s.jpg,diyas,batch_002
1126,2,obama/batch_001/frame_001126s.jpg,frame_001126s.jpg,obama,batch_001
1127,2,diyas/batch_002/frame_001127s.jpg,frame_001127s.jpg,diyas,batch_002
1127,2,obama/batch_001/frame_001127s.jpg,frame_001127s.jpg,obama,batch_001
1128,2,diyas/batch_002/frame_001128s.jpg,frame_001128s.jpg,diyas,batch_002
1128,2,obama/batch_001/frame_001128s.jpg,frame_001128s.jpg,obama,batch_001
1129,2,diyas/batch_002/frame_001129s.jpg,frame_001129s.jpg,diyas,batch_002
1129,2,obama/batch_001/frame_001129s.jpg,frame_001129s.jpg,obama,batch_001
1130,2,diyas/batch_002/frame_001130s.jpg,frame_001130s.jpg,diyas,batch_002
1130,2,obama/batch_001/frame_001130s.jpg,frame_001130s.jpg,obama,batch_001
1131,2,diyas/batch_002/frame_001131s.jpg,frame_001131s.jpg,diyas,batch_002
1131,2,obama/batch_001/frame_001131s.jpg,frame_001131s.jpg,obama,batch_001
1132,2,diyas/batch_002/frame_001132s.jpg,frame_001132s.jpg,diyas,batch_002
1132,2,obama/batch_001/frame_001132s.jpg,frame_001132s.jpg,obama,batch_001
1133,2,diyas/batch_002/frame_001133s.jpg,frame_001133s.jpg,diyas,batch_002
1133,2,obama/batch_001/frame_001133s.jpg,frame_001133s.jpg,obama,batch_001
1135,2,diyas/batch_002/frame_001135s.jpg,frame_001135s.jpg,diyas,batch_002
1135,2,obama/batch_001/frame_001135s.jpg,frame_001135s.jpg,obama,batch_001
1136,2,diyas/batch_002/frame_001136s.jpg,frame_001136s.jpg,diyas,batch_002
